id,bucket,section,source,element,key,implementation_status,render_status,english_text,seo_ru,seo_pt,seo_es,match_status,notes
eor_001,seo_meta,Meta,src/i18n/translations/eor/en.ts,meta,meta.title,has_key,source_only,"Employer of Record: Remote, Effortless & Effective | Garna",,,,,
eor_002,seo_meta,Meta,src/i18n/translations/eor/en.ts,meta,meta.description,has_key,source_only,Join Garna and experience how a refined remote employment solution can optimize and simplify hiring talents globally.,,,,,
eor_003,page_hero,Hero,astro/content/page-heroes.ts :: eor,badge,hero.badge,has_key,source_only,Employer of Record for global teams,,,,,
eor_004,page_hero,Hero,astro/content/page-heroes.ts :: eor,h1,hero.title,has_key,source_only,"Worldwide Employment Made Simple, Quick & Flawless",,,,,
eor_005,page_hero,Hero,astro/content/page-heroes.ts :: eor,description,hero.description,has_key,source_only,"Hiring the best talent from around the globe does not have to mean complex compliance rules, separate payroll systems, or new legal entities in every country. Garna gives companies a simple, modern Employer of Record solution for global hiring without operational hassle",,,,,
eor_006,page_hero,Hero,astro/content/page-heroes.ts :: eor,button,hero.cta,has_key,source_only,Book a demo,,,,,
eor_007,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q1.answer,has_key,source_only,"An EoR is a third-party company that legally employs workers on behalf of another business and handles payroll, taxes, compliance, contracts, and local employment rules.",,,,,
eor_008,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q2.answer,has_key,source_only,A PEO usually works through a co-employment model and often needs the client company to have a local setup. An EoR acts as the official employer so you do not need to set up a business in every country.,,,,,
eor_009,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q3.answer,has_key,source_only,Use an EoR when you want to hire people in countries where your company is not already set up to do business.,,,,,
eor_010,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q4.answer,has_key,source_only,A local entity can be expensive and slow. An EoR is usually faster and more flexible when you need to test new regions and scale a global team without unnecessary complexity.,,,,,
eor_011,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,answer,faq.items.q5.answer,has_key,source_only,"Garna provides a flexible global EoR solution with payroll, compliance, onboarding, API integrations, white-label options, and support for multi-country teams.",,,,,
eor_012,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q1.question,has_key,source_only,What is an Employer of Record (EoR)?,,,,,
eor_013,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q2.question,has_key,source_only,How is an EoR different from a PEO?,,,,,
eor_014,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q3.question,has_key,source_only,When should you use an EoR?,,,,,
eor_015,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q4.question,has_key,source_only,EoR vs own international entity setup: which is better?,,,,,
eor_016,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: eorFaqItems,question,faq.items.q5.question,has_key,source_only,What EoR model does Garna have?,,,,,
eor_017,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: FAQSection props,kicker,faq.kicker,has_key,source_only,FAQ,,,,,
eor_018,page_faq,FAQ on Employer of Record,astro/pages/employer-of-record.astro :: FAQSection props,h2,faq.title,has_key,source_only,FAQ on Employer of Record,,,,,
eor_019,page_cta,Final CTA,astro/content/page-final-ctas.ts :: eor,h2,finalCta.title,has_key,source_only,Global Employer of Record is a Modern Hiring Process Done Stress-Free,,,,,
eor_020,page_cta,Final CTA,astro/content/page-final-ctas.ts :: eor,description,finalCta.description,has_key,source_only,Garna offers 24/7 expert support and the features needed to create smooth employee experiences around the world without unexpected operational crises,,,,,
eor_021,page_cta,Final CTA,astro/content/page-final-ctas.ts :: eor,button,finalCta.button,has_key,source_only,Start Going Global,,,,,
eor_022,widget,Booking widget,astro/pages/employer-of-record.astro :: GarnaBookingWidget fallback,widget,bookingWidget.titleFallback,has_key,source_only,Book a free 30-minute product demo,,,,,
eor_023,widget,Booking widget,astro/pages/employer-of-record.astro :: GarnaBookingWidget fallback,widget,bookingWidget.subtitleFallback,has_key,source_only,Get all your questions answered by our experts,,,,,
eor_024,hero_visual_ui,Hero,astro/content/site-pages/eor.html,span,dashboard.url,has_key,source_html,garna.io/dashboard,,,,,
eor_025,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Balance,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_026,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Company,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_027,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Notifications,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_028,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Support,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_029,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Internal account USD USD EUR,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_030,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"$112,272.31",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_031,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Account number,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_032,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,4461 9571 3840 9821,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_033,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Send Withdraw Add funds Details,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_034,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Templates,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_035,page_body,Hero,astro/content/site-pages/eor.html,a,,needs_key,source_html,All,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_036,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.transactionByEmail,has_key,source_html,Transaction by email,,,,,
eor_037,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.csvPayment,has_key,source_html,CSV payment,,,,,
eor_038,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.topUpUsdt,has_key,source_html,Top up with USDT,,,,,
eor_039,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,templates.topUpBank,has_key,source_html,Top up with Bank transfer,,,,,
eor_040,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Transactions,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_041,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Transfer to Maria Rei,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_042,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,transactions.confirmed,has_key,source_html,Confirmed,,,,,
eor_043,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,-$480.00,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_044,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"10.01.2026, 18:58",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_045,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Transfer to Vlad Kolomensky,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_046,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,-$160.00,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_047,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"10.01.2026, 18:54",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_048,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"$ 1,000,000.00 available for team payouts",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_049,hero_visual_ui,Hero,astro/content/site-pages/eor.html,div,advance.description,has_key,source_html,Pay your contractors now — repay later with flexible terms,,,,,
eor_050,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Request,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_051,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,400+ businesses using Garna,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_052,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,24/7 global payroll service availability,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_053,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,150+ countries covered,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_054,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,"Grow faster Grow Your Global Workforce Faster An Employer of Record helps companies hire international employees without opening local entities. Garna legally employs the worker on your behalf while you manage their day-to-day work, responsibilities, and performance",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_055,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,One hiring system Everything You Need to Hire and Pay Globally Garna offers a flexible hiring system that helps companies hire international staff without walking the bureaucratic extra mile,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_056,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,"Entity $678,200",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_057,page_body,Hero,astro/content/site-pages/eor.html,div,,needs_key,source_html,Employees +87 ready,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_058,page_body,Hire globally without opening entities,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Hire globally without opening entities,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_059,page_body,Hire globally without opening entities,astro/content/site-pages/eor.html,p,,needs_key,source_html,Hire employees around the globe without opening a local office or navigating its legal infrastructure,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_060,page_body,Hire globally without opening entities,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Workforce mix Full-time 42%,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_061,page_body,Hire globally without opening entities,astro/content/site-pages/eor.html,div,,needs_key,source_html,Contractors 38%,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_062,page_body,Employ any type of workforce,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Employ any type of workforce,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_063,page_body,Employ any type of workforce,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Manage full-timers, contractors, freelancers, and distributed staff from a single place",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_064,page_body,Employ any type of workforce,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Payroll run This month,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_065,visual_microcopy_or_static,Employ any type of workforce,astro/content/site-pages/eor.html,span,,needs_key,source_html,Ready,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_066,page_body,Employ any type of workforce,astro/content/site-pages/eor.html,div,,needs_key,source_html,Salary $48.6k,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_067,page_body,Employ any type of workforce,astro/content/site-pages/eor.html,div,,needs_key,source_html,Tax $8.2k,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_068,page_body,Employ any type of workforce,astro/content/site-pages/eor.html,div,,needs_key,source_html,FX 4,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_069,page_body,Offer payroll that runs smoothly,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Offer payroll that runs smoothly,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_070,page_body,Offer payroll that runs smoothly,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Pay staff, contractors, taxes, and multi-currency payouts automatically and without stress",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_071,page_body,Offer payroll that runs smoothly,astro/content/site-pages/eor.html,div,,needs_key,source_html,Compliance alert New minimum wage rule,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_072,page_body,Offer payroll that runs smoothly,astro/content/site-pages/eor.html,div,,needs_key,source_html,Reviewed before payroll,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_073,page_body,Ensure compliance in every market,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Ensure compliance in every market,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_074,page_body,Ensure compliance in every market,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Stay aligned with local labor laws, tax regulations, and country-specific rules",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_075,visual_microcopy_or_static,Ensure compliance in every market,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,HRIS,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_076,visual_microcopy_or_static,Ensure compliance in every market,astro/content/site-pages/eor.html,div,,needs_key,source_html,Finance,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_077,page_body,Integrate EoR into your tools,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Integrate EoR into your tools,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_078,page_body,Integrate EoR into your tools,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Connect with existing HR, finance, and workforce management tools without disrupting your processes",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_079,visual_microcopy_or_static,Integrate EoR into your tools,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,SOC,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_080,visual_microcopy_or_static,Integrate EoR into your tools,astro/content/site-pages/eor.html,div,,needs_key,source_html,ISO,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_081,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Built for fast-moving companies,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_082,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,p,,needs_key,source_html,Support startups entering new markets and larger teams managing global workforce operations,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_083,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"Why Garna Why Companies Choose Garna Garna makes it easier to manage global employment from finding the right people to setting them up, paying them, and keeping paperwork organized",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_084,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Sourcing Onboarding Documents Payroll Reporting Termination,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_085,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"Sourcing Finding the Right Talent, Quickly Find and hire global talent faster with tools that make cross-border hiring simple and compliant",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_086,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Talent search Global matching,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_087,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Talent search Global,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_088,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Maya R. 92% match,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_089,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,p,,needs_key,source_html,Product designer · Portugal,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_090,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Alex T. 88% match,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_091,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,p,,needs_key,source_html,Backend engineer · Poland,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_092,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Cross-border hiring checks ready,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_093,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"Onboarding Automating International Employee Onboarding Country-aware workflows help new employees get started through one platform, with less manual HR work",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_094,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,New employee Invite sent,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_095,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,New employee Sara K. Growth lead · UAE,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_096,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,01 Invite sent,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_097,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,02 Local contract prepared,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_098,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,03 Payroll profile ready,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_099,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"Documents Centralizing Contracts and Compliance Documentation Keep contracts, tax forms, payroll records, and compliance documents together in one secure platform",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_100,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Compliance vault Documents stored,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_101,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Compliance vault,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_102,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,EoR contract Signed,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_103,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Tax forms Stored,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_104,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Payroll records Synced,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_105,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Payroll Running Global Payroll Without All the Stress Automated workflows help companies pay people around the world while reducing payroll errors and extra work,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_106,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Payroll run Ready to pay,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_107,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,"Payroll run $84,250",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_108,visual_microcopy_or_static,Built for fast-moving companies,astro/content/site-pages/eor.html,span,,needs_key,source_html,Ready,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_109,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,SWIFT 42%,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_110,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,SEPA 36%,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_111,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Crypto 22%,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_112,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"Reporting Getting a Clear View of Your Global Workforce See payroll, compliance, onboarding, and workforce costs in one reporting layer with API-first infrastructure",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_113,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Workforce costs Live report,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_114,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,"Workforce costs $678,200",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_115,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Countries 150+,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_116,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Compliance checks 24/7,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_117,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Termination Offboarding Compliantly in a Global Market Country-specific termination workflows help teams offboard employees with confidence,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_118,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Offboarding Notice rules checked,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_119,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,1 Notice rules checked,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_120,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,2 Final payroll calculated,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_121,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,3 Documents archived,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_122,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Fit check Is Garna Employer of Record the Right Fit for Your Business?,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_123,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,You want to bring on international staff without setting up an office in every country,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_124,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"You want to automate global payroll, taxes, and compliance instead of juggling manual workflows",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_125,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"You already have international talent to hire and need help with contracts, onboarding, and compliance",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_126,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,You want to scale distributed teams fast without building internal HR and payroll infrastructure,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_127,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,"You need contractor management, bank transfers, cryptocurrency payouts, and multi-country payroll in one platform",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_128,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,How it works Steps to take with Garna,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_129,page_body,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,hidden_or_inactive,Profile 3 min,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_130,visual_microcopy_or_static,Built for fast-moving companies,astro/content/site-pages/eor.html,div,,needs_key,source_html,Start,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_131,page_body,Set up your company account,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Set up your company account,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_132,page_body,Set up your company account,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Complete a quick profile check, fill in the required fields, and get access to a customized service flow",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_133,visual_microcopy_or_static,Set up your company account,astro/content/site-pages/eor.html,div,,needs_key,source_html,Finance,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_134,visual_microcopy_or_static,Set up your company account,astro/content/site-pages/eor.html,div,,needs_key,source_html,Access,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_135,page_body,Assign a financial contact,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Assign a financial contact,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_136,page_body,Assign a financial contact,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Choose the person responsible for financial matters, from a finance director to yourself",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_137,visual_microcopy_or_static,Assign a financial contact,astro/content/site-pages/eor.html,div,,needs_key,source_html,Portugal,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_138,page_body,Assign a financial contact,astro/content/site-pages/eor.html,div,,needs_key,source_html,EoR contract,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_139,page_body,Assign a financial contact,astro/content/site-pages/eor.html,div,,needs_key,source_html,"Salary EUR 4,800",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_140,page_body,Create your first EoR contract,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Create your first EoR contract,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_141,page_body,Create your first EoR contract,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Add country, position, salary, start date, currency, and work visa requirements",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_142,page_body,Create your first EoR contract,astro/content/site-pages/eor.html,p,,needs_key,source_html,Invite,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_143,page_body,Create your first EoR contract,astro/content/site-pages/eor.html,p,,needs_key,source_html,Employee email,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_144,visual_microcopy_or_static,Create your first EoR contract,astro/content/site-pages/eor.html,p,,needs_key,source_html,Account,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_145,page_body,Create your first EoR contract,astro/content/site-pages/eor.html,p,,needs_key,source_html,Ready to pay,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_146,page_body,Invite an employee,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Invite an employee,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_147,page_body,Invite an employee,astro/content/site-pages/eor.html,p,,needs_key,source_html,The employee receives an invitation by email and creates a Garna account to receive payments,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_148,page_body,Invite an employee,astro/content/site-pages/eor.html,p,,needs_key,source_html,Wallet balance,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_149,page_body,Invite an employee,astro/content/site-pages/eor.html,p,,needs_key,source_html,"$84,250",,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_150,page_body,Invite an employee,astro/content/site-pages/eor.html,div,,needs_key,source_html,SWIFT SEPA Crypto Funded,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_151,page_body,Fund your wallet and run payroll,astro/content/site-pages/eor.html,h3,,needs_key,source_html,Fund your wallet and run payroll,,,,,No translation key yet; needs key before implementation if this text should be localized.
eor_152,page_body,Fund your wallet and run payroll,astro/content/site-pages/eor.html,p,,needs_key,source_html,"Use SWIFT, SEPA, or crypto funding and start paying salary today",,,,,No translation key yet; needs key before implementation if this text should be localized.
