index,section,target,en,ru,es,pt,status
1,Meta,meta.title,"Employer of Record: Remote, Effortless & Effective | Garna","Официальный работодатель: удаленная работа, без лишних хлопот и с максимальной эффективностью | Garna","Empleador oficial: a distancia, sin complicaciones y eficaz | Garna","Employer of Record: Remoto, Simples e Eficaz | Garna",mapped_by_draft_order
2,Meta,meta.description,Join Garna and experience how a refined remote employment solution can optimize and simplify hiring talents globally.,"Присоединяйтесь к Garna и узнайте, как продуманное решение для удаленной работы может оптимизировать и упростить процесс найма талантов по всему миру.",Únete a Garna y descubre cómo una solución de empleo a distancia perfeccionada puede optimizar y simplificar la contratación de talentos a nivel mundial.,Junte-se à Garna e descubra como uma solução moderna de emprego remoto pode otimizar e simplificar a contratação global de talentos.,mapped_by_draft_order
3,Hero,hero.title,"Worldwide Employment Made Simple, Quick & Flawless","Простой, быстрый и безупречный процесс найма по всему миру","Contratación internacional sencilla, rápida y sin complicaciones","Contratação global simples, rápida e sem falhas",mapped_by_draft_order
4,Hero,hero.description,"Hiring the best talent from around the globe doesn't have to be a set of complex compliance rules, separate payroll systems where you have to create multiple legal entities in each country. At Garna, we provide a simple, modern employer of record solution designed to help businesses expand globally without getting stuck in operational hassles.","Привлечение лучших специалистов со всего мира не обязательно должно сопровождаться сложными нормами законодательства, отдельными системами расчета заработной платы и необходимостью создавать множество юридических лиц в каждой стране. Компания Garna предлагает простое и современное решение по официальному найму персонала, призванное помочь предприятиям выходить на международный рынок, не увязая в операционных сложностях.","Contratar a los mejores talentos de todo el mundo no tiene por qué implicar un conjunto de complejas normas de cumplimiento ni sistemas de nóminas independientes en los que haya que crear múltiples entidades jurídicas en cada país. En Garna, ofrecemos una solución sencilla y moderna de empleador oficial diseñada para ayudar a las empresas a expandirse a nivel mundial sin verse atrapadas en complicaciones operativas.","Contratar os melhores talentos em qualquer parte do mundo não deve significar lidar com regras complexas de conformidade, sistemas de payroll separados ou criação de múltiplas entidades legais em cada país. Na Garna, oferecemos uma solução Employer of Record simples e moderna, concebida para ajudar empresas a expandirem-se globalmente sem ficarem presas em dificuldades operacionais.",mapped_by_draft_order
5,Hero,hero.cta,Book demo,Заказать пробную версию,Solicita un demo,Marcar demo,mapped_by_draft_order
6,Stats,stats.businesses,400+ businesses using Garna,Более 400 компаний используют Garna,+400 empresas utilizan Garna,Mais de 400 empresas utilizam a Garna,mapped_by_draft_order
7,Stats,stats.availability,24/7 global payroll service availability,Круглосуточная доступность услуг по оплате труда по всему миру,"Servicio de nóminas global disponible las 24 horas del día, los 7 días de la semana",Disponibilidade global do serviço de payroll 24/7,mapped_by_draft_order
8,Stats,stats.countries,150+ countries covered,Более 150 стран,Más de 150 países cubiertos,Mais de 150 países abrangidos,mapped_by_draft_order
9,Grow Your Global Workforce Faster,globalWorkforce.title,Grow Your Global Workforce Faster,Ускорьте расширение вашей международной команды,Haz crecer tu plantilla global más rápido,Expanda a sua equipa global mais rapidamente,mapped_by_draft_order
10,Grow Your Global Workforce Faster,globalWorkforce.description,"An Employer of Record (EoR) helps companies hire international employees without opening local entities. The EoR provider legally employs the worker on your behalf, while you manage their day-to-day work, responsibilities, and performance.","Услуга «Официальный работодатель» (EoR) помогает компаниям нанимать иностранных сотрудников без открытия местных юридических лиц. Поставщик услуг по официальному трудоустройству нанимает работника на законных основаниях от вашего имени, в то время как вы управляете его повседневной работой, обязанностями и производительностью.","Un «empleador de referencia» (EoR) ayuda a las empresas a contratar empleados internacionales sin necesidad de abrir entidades locales. El proveedor de EoR contrata legalmente al trabajador en su nombre, mientras usted gestiona su trabajo diario, sus responsabilidades y su rendimiento.","Um Employer of Record (EoR) ajuda empresas a contratar funcionários internacionais sem abrir entidades locais. O fornecedor EoR emprega legalmente o trabalhador em seu nome, enquanto gere o trabalho diário, responsabilidades e desempenho.",mapped_by_draft_order
11,Grow Your Global Workforce Faster,globalWorkforce.intro,All of this means that you can:,"Все это означает, что вы можете:",Todo esto significa que puedes:,Tudo isto significa que pode:,mapped_by_draft_order
12,Grow Your Global Workforce Faster,globalWorkforce.benefits.hireGlobally.title,Hire Globally Faster,Быстрее нанимать сотрудников по всему миру,Contratar a nivel global más rápido,Contratar globalmente mais rápido,mapped_by_draft_order
13,Grow Your Global Workforce Faster,globalWorkforce.benefits.hireGlobally.description,Bring in talented people from all over the world and make it faster than before,"Привлекать талантливых специалистов со всего мира и делать это быстрее, чем раньше",Atraer a personas con talento de todo el mundo y hacerlo más rápido que antes,Contrate talentos de qualquer parte do mundo de forma mais rápida do que nunca.,mapped_by_draft_order
14,Grow Your Global Workforce Faster,globalWorkforce.benefits.newMarkets.title,Expand Into New Markets,Выходить на новые рынки,Expandirse a nuevos mercados,Expandir para novos mercados,mapped_by_draft_order
15,Grow Your Global Workforce Faster,globalWorkforce.benefits.newMarkets.description,Test and enter new regions without operational overhead,Тестировать и осваивать новые регионы без дополнительных операционных затрат,Probar y entrar en nuevas regiones sin gastos operativos,Teste e entre em novas regiões sem sobrecarga operacional.,mapped_by_draft_order
16,Grow Your Global Workforce Faster,globalWorkforce.benefits.reduceRisks.title,Reduce the Risks,Сократить риски,Reducir los riesgos,Reduzir riscos,mapped_by_draft_order
17,Grow Your Global Workforce Faster,globalWorkforce.benefits.reduceRisks.description,Prevent any possible mistake that might arise during hiring and firing staff in different countries,"Предотвратить любые возможные ошибки, которые могут возникнуть при найме и увольнении сотрудников в разных странах",Evita cualquier posible error que pueda surgir durante la contratación y el despido de personal en diferentes países,Evite possíveis erros relacionados com contratação e despedimento de funcionários em diferentes países.,mapped_by_draft_order
18,Grow Your Global Workforce Faster,globalWorkforce.benefits.compliance.title,Maintain Law Compliance,Обеспечить соблюдение законодательства,Cumple con la legislación,Manter conformidade legal,mapped_by_draft_order
19,Grow Your Global Workforce Faster,globalWorkforce.benefits.compliance.description,Get global payroll sorted out without having to worry about a million different rules and regulations,"Наладить систему оплаты труда в разных странах, не беспокоясь о бесчисленных правилах и нормах",Gestiona la nómina global sin tener que preocuparte por un sinfín de normas y regulaciones,Resolva payroll global sem ter de lidar com milhões de regras e regulamentos diferentes.,mapped_by_draft_order
20,Everything You Need to Hire and Pay Globally,hirePay.title,Everything You Need to Hire and Pay Globally,"Все, что нужно для найма и оплаты труда сотрудников по всему миру",Todo lo que necesitas para contratar y pagar a nivel global,Tudo o que precisa para contratar e pagar globalmente,mapped_by_draft_order
21,Everything You Need to Hire and Pay Globally,hirePay.description,We offer a super flexible hiring system that helps companies to hire international staff without having to walk the bureaucratic extra mile.,"Мы предлагаем чрезвычайно гибкую систему найма, которая помогает компаниям нанимать иностранных сотрудников, избегая лишних бюрократических процедур.",Ofrecemos un sistema de contratación muy flexible que ayuda a las empresas a contratar personal internacional sin tener que pasar por trámites burocráticos adicionales.,Oferecemos um sistema de contratação extremamente flexível que ajuda empresas a contratar colaboradores internacionais sem burocracia desnecessária.,mapped_by_draft_order
22,Everything You Need to Hire and Pay Globally,hirePay.cards.entities.title,Hire globally without opening new entities,Нанимайте сотрудников по всему миру без открытия новых юридических лиц,Contrata a nivel global sin necesidad de abrir nuevas entidades,Contrate globalmente sem abrir novas entidades,mapped_by_draft_order
23,Everything You Need to Hire and Pay Globally,hirePay.cards.entities.description,You can hire employees around the globe in no time. No need to open a local office and navigate its legal infrastructure.,Вы сможете нанять сотрудников по всему миру в считанные минуты. Не нужно открывать местный офис и разбираться в его правовых аспектах.,Puedes contratar empleados en todo el mundo en un abrir y cerrar de ojos. No es necesario abrir una oficina local ni lidiar con su infraestructura legal.,Pode contratar funcionários em qualquer parte do mundo rapidamente. Não é necessário abrir escritórios locais nem lidar com infraestruturas legais complexas.,mapped_by_draft_order
24,Everything You Need to Hire and Pay Globally,hirePay.cards.workforce.title,Employ any type of the workforce,Использовать любой тип персонала,Contrata cualquier tipo de personal,Contrate qualquer tipo de força de trabalho,mapped_by_draft_order
25,Everything You Need to Hire and Pay Globally,hirePay.cards.workforce.description,"Manage a team of full-timers, contractors, freelancers, and distributed staff all from a single place.","Управляйте командой, состоящей из штатных сотрудников, подрядчиков, фрилансеров и удаленных сотрудников, при помощи одного инструмента.","Gestiona un equipo de empleados a tiempo completo, contratistas, autónomos y personal distribuido, todo desde un único lugar.","Gira equipas compostas por funcionários permanentes, contratados, freelancers e equipas distribuídas a partir de um único lugar.",mapped_by_draft_order
26,Everything You Need to Hire and Pay Globally,hirePay.cards.payroll.title,Offer payroll that runs smoothly,Обеспечьте удобную выплату зарплат,Ofrece una gestión de nóminas fluida,Ofereça payroll sem complicações,mapped_by_draft_order
27,Everything You Need to Hire and Pay Globally,hirePay.cards.payroll.description,"Pay international staff, contractors, taxes, and multi-currency payouts automatically and without stress.","Автоматически и без лишних хлопот выплачивайте зарплату иностранным сотрудникам и подрядчикам, оплачивайте налоги и осуществляйте мультивалютные выплаты.","Paga automáticamente y sin complicaciones a tu personal internacional, a los contratistas, los impuestos y los pagos en varias divisas.","Pague funcionários internacionais, contratados, impostos e pagamentos em múltiplas moedas automaticamente e sem stress.",mapped_by_draft_order
28,Everything You Need to Hire and Pay Globally,hirePay.cards.compliance.title,Ensure law compliance for every market,Мы гарантируем соблюдение законодательства на каждом рынке,Garantiza el cumplimiento de la legislación en todos los mercados,Garanta conformidade legal em todos os mercados,mapped_by_draft_order
29,Everything You Need to Hire and Pay Globally,hirePay.cards.compliance.description,"When it comes to the different regulations and rules that arise with hiring globally, we're in control of the correspondence to local labor laws, tax regulations and county-specific rules.","Что касается различных нормативных требований и правил, возникающих при найме сотрудников в разных странах, мы обеспечиваем соблюдение местного трудового законодательства, налоговых норм и правил, действующих в конкретных странах.","En lo que respecta a las diferentes normativas y reglas que surgen al contratar a nivel global, nos encargamos de garantizar el cumplimiento de las leyes laborales locales, las normativas fiscales y las reglas específicas de cada país.","Quando surgem diferentes regulamentos e regras associados à contratação global, garantimos conformidade com leis laborais locais, regulamentações fiscais e regras específicas de cada país.",mapped_by_draft_order
30,Everything You Need to Hire and Pay Globally,hirePay.cards.integrations.title,Integrate EoR to your tools and systems,Интегрируйте услугу официального работодателя в свои инструменты и системы,Integra EoR en tus herramientas y sistemas,Integre EoR nas suas ferramentas e sistemas,mapped_by_draft_order
31,Everything You Need to Hire and Pay Globally,hirePay.cards.integrations.description,"Our system connects seamlessly with your existing HR, finance and workforce management tools, so you don't have to disrupt existing processes.","Наша система легко интегрируется с вашими существующими системами управления персоналом, финансами и трудовыми ресурсами, поэтому вам не придется нарушать сложившиеся рабочие процессы.","Nuestro sistema se integra a la perfección con tus herramientas actuales de RR. HH., finanzas y gestión de personal, para que no tengas que alterar los procesos existentes.","O nosso sistema integra-se facilmente com as ferramentas existentes de RH, finanças e gestão de equipas, sem necessidade de alterar processos atuais.",mapped_by_draft_order
32,Everything You Need to Hire and Pay Globally,hirePay.cards.fastMoving.title,Built for the fast-moving companies,"Система, созданная для динамично развивающихся компаний",Diseñado para empresas en rápido crecimiento,Criado para empresas que se movem rapidamente,mapped_by_draft_order
33,Everything You Need to Hire and Pay Globally,hirePay.cards.fastMoving.description,"Whether you're a startup making its way in a new market or a big company trying to manage a global workforce, Garna's here to help you out by simplifying HR processes.","Независимо от того, являетесь ли вы стартапом, только начинающим свою деятельность на новом рынке, или крупной компанией, стремящейся эффективно управлять персоналом по всему миру, Garna готова помочь вам, упростив процессы управления персоналом.","Tanto si eres una startup que se abre camino en un nuevo mercado como una gran empresa que intenta gestionar una plantilla global, Garna está aquí para ayudarte simplificando los procesos de RR. HH.","Quer seja uma startup a entrar num novo mercado ou uma grande empresa a gerir equipas globais, a Garna ajuda a simplificar processos de RH.",mapped_by_draft_order
34,Why Companies Choose Garna,why.title,The Answer to Why Companies Choose Garna,Почему компании выбирают Garna,La respuesta a por qué las empresas eligen Garna,A resposta para porque as empresas escolhem a Garna,mapped_by_draft_order
35,Why Companies Choose Garna,why.description,"Garna makes it easier for companies to manage every single bit of their global employment — from tracking down the right people to bring on board to getting them set up, paid, and the paperwork sorted out.","Garna упрощает компаниям управление всеми аспектами глобального найма персонала — от поиска подходящих кандидатов до их приема на работу, оформления, выплаты заработной платы и урегулирования всех необходимых документов.","Garna facilita a las empresas la gestión de todos los aspectos de su plantilla global, desde la búsqueda de los candidatos adecuados hasta su incorporación, la gestión de sus salarios y la tramitación de la documentación.","A Garna facilita às empresas a gestão de cada etapa do emprego global — desde encontrar as pessoas certas para contratar até integrá-las, efetuar pagamentos e organizar toda a documentação.",mapped_by_draft_order
36,Why Companies Choose Garna,why.tabs.sourcing.label,Sourcing,Подбор персонала,Búsqueda de talento,Recrutamento,mapped_by_draft_order
37,Why Companies Choose Garna,why.tabs.sourcing.title,"Finding the Right Talent, Quickly",Быстрый поиск подходящих специалистов,"Encontrar el talento adecuado, rápidamente",Encontrar rapidamente os talentos certos,mapped_by_draft_order
38,Why Companies Choose Garna,why.tabs.sourcing.problem,International hiring slows down because a lot of companies don't have the toolkit to get people hired in all the countries they need to operate in.,"Процесс найма иностранных специалистов замедляется, поскольку у многих компаний нет необходимых инструментов для найма сотрудников во всех странах, где им требуется вести деятельность.",La contratación internacional se ralentiza porque muchas empresas no cuentan con las herramientas necesarias para contratar personal en todos los países en los que necesitan operar.,A contratação internacional torna-se mais lenta porque muitas empresas não possuem as ferramentas necessárias para contratar pessoas em todos os países onde precisam operar.,mapped_by_draft_order
39,Why Companies Choose Garna,why.tabs.sourcing.solution,Garna is here to help you find and hire global talent a lot faster with tools that make cross-border hiring simple and help you stay on the right side of the law.,"Garna поможет вам ускорить процесс поиска и найма специалистов по всему миру благодаря инструментам, которые упрощают международный набор персонала и позволяют вам соблюдать все нормативные требования.",Garna está aquí para ayudarte a encontrar y contratar talento global mucho más rápido con herramientas que simplifican la contratación transfronteriza y te ayudan a cumplir con la legislación.,A Garna ajuda-o a encontrar e contratar talentos globais muito mais rapidamente através de ferramentas que simplificam a contratação internacional e ajudam a manter conformidade legal.,mapped_by_draft_order
40,Why Companies Choose Garna,why.tabs.onboarding.label,Onboarding,Адаптация новых сотрудников,Incorporación,Onboarding,mapped_by_draft_order
41,Why Companies Choose Garna,why.tabs.onboarding.title,Automating International Employee Onboarding,Автоматизация процесса адаптации иностранных сотрудников,Automatización de la incorporación de empleados internacionales,Automatização do onboarding internacional de funcionários,mapped_by_draft_order
42,Why Companies Choose Garna,why.tabs.onboarding.problem,Onboarding a new employee can be a challenge when hiring from different places around the world.,Адаптация нового сотрудника может стать сложной задачей при найме персонала из разных уголков мира.,La incorporación de un nuevo empleado puede ser un reto cuando se contrata desde diferentes lugares del mundo.,O onboarding de um novo funcionário pode ser um desafio quando se contrata pessoas de diferentes partes do mundo.,mapped_by_draft_order
43,Why Companies Choose Garna,why.tabs.onboarding.solution,"Garna makes international employee onboarding simpler with special workflows that make sure everything is done the right way in each country. Instead of having to deal with different systems and paperwork, you can on-board employees all over the world through one platform and cut down on all the manual HR work.","Garna упрощает процесс адаптации иностранных сотрудников благодаря специальным рабочим процессам, которые гарантируют, что все процедуры выполняются в соответствии с требованиями каждой страны. Вместо того чтобы иметь дело с разными системами и бумажной волокитой, вы можете оформлять сотрудников по всему миру через единую платформу и сократить объем ручной работы в отделе кадров.","Garna simplifica la incorporación de empleados internacionales con flujos de trabajo específicos que garantizan que todo se haga correctamente en cada país. En lugar de tener que lidiar con diferentes sistemas y trámites, puedes incorporar a empleados de todo el mundo a través de una sola plataforma y reducir todo el trabajo manual de RR. HH.","A Garna torna o onboarding internacional mais simples através de workflows especiais que garantem que tudo é feito corretamente em cada país. Em vez de lidar com diferentes sistemas e documentação, pode integrar funcionários em todo o mundo através de uma única plataforma e reduzir significativamente o trabalho manual de RH.",mapped_by_draft_order
44,Why Companies Choose Garna,why.tabs.documents.label,Documents,Документы,Documentos,Documentos,mapped_by_draft_order
45,Why Companies Choose Garna,why.tabs.documents.title,Centralizing Contracts and Compliance Documentation,Централизация договоров и документации по обеспечению соответствия,Centralización de contratos y documentación de cumplimiento,Centralização de contratos e documentação de conformidade,mapped_by_draft_order
46,Why Companies Choose Garna,why.tabs.documents.problem,"Trying to keep track of all different contracts, tax forms, payroll records, and compliance documents can be as much of a nightmare as an operational risk for any international team.","Отслеживание всех различных договоров, налоговых форм, документов по начислению зарплаты и соблюдению нормативных требований может стать настоящим кошмаром и представлять собой операционный риск для любой международной команды.","Intentar llevar un control de todos los diferentes contratos, formularios fiscales, registros de nóminas y documentos de cumplimiento normativo puede ser tanto una pesadilla como un riesgo operativo para cualquier equipo internacional.","Tentar acompanhar diferentes contratos, formulários fiscais, registos de payroll e documentos de conformidade pode transformar-se tanto num pesadelo operacional como num risco para qualquer equipa internacional.",mapped_by_draft_order
47,Why Companies Choose Garna,why.tabs.documents.solution,"Garna makes it easy to keep everything in one place with our secure platform, so you can manage international employment compliance and all the workflows for your global HR operations on your distributed teams with less hassle.","Garna позволяет легко хранить всю информацию в одном месте на нашей защищенной платформе, благодаря чему вы сможете с меньшими затратами управлять соблюдением международных трудовых норм и всеми рабочими процессами в рамках глобальной кадровой деятельности ваших разрозненных команд.","Garna facilita mantener todo en un solo lugar gracias a nuestra plataforma segura, para que puedas gestionar el cumplimiento normativo laboral internacional y todos los flujos de trabajo de tus operaciones globales de RR. HH. en tus equipos distribuidos con menos complicaciones.","A Garna facilita manter tudo num único lugar através da nossa plataforma segura, para que possa gerir conformidade internacional e todos os workflows globais de RH das suas equipas distribuídas com menos complicações.",mapped_by_draft_order
48,Why Companies Choose Garna,why.tabs.payroll.label,Payroll,Оплата труда,Nóminas,Payroll,mapped_by_draft_order
49,Why Companies Choose Garna,why.tabs.payroll.title,Running Your Global Payroll Without All the Stress,Управление международной системой оплаты труда без лишних хлопот,Gestiona tu nómina global sin estrés,Gerir payroll global sem todo o stress,mapped_by_draft_order
50,Why Companies Choose Garna,why.tabs.payroll.problem,Getting payroll right for employees all over the world and dealing with different currencies and tax rules is one of the most headache-inducing bits about taking a business global.,"Правильное начисление зарплаты сотрудникам по всему миру, а также работа с различными валютами и налоговыми правилами — это одна из самых сложных задач при выходе бизнеса на международный рынок.",Gestionar correctamente las nóminas de los empleados de todo el mundo y lidiar con diferentes divisas y normas fiscales es uno de los aspectos más complicados de la internacionalización de una empresa.,Garantir payroll correto para funcionários em todo o mundo e lidar com diferentes moedas e regras fiscais é uma das partes mais complicadas da expansão internacional de um negócio.,mapped_by_draft_order
